,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Carrington,Lower Hunter,Newcastle Local,Hargrave St & Garrett St,-32.90972,151.76330,5,2014,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/carrington
,Mayfield,Lower Hunter,Newcastle Local,Murray Dwyer Circuit,-32.88506,151.72835,5,2014,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,,,,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/mayfield
,Newcastle,Lower Hunter,Lower Hunter,"Fearnley Dawes Athletics Park, Newcastle West",-32.93118,151.75963,5,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/newcastle
,Stockton,Lower Hunter,Newcastle Local,Fullerton St Park,-32.90197,151.78427,5,2014,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,,,,ü,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/stockton
,Wallsend,Lower Hunter,Lower Hunter,Swimming Pool,-32.89439,151.67021,8,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/wallsend
,Central Coast and Lake Macquarie,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morisset,Central Coast & Lake Macquarie,Lake Macquarie,"72 Fishery Point Road, Mirrabooka",-33.10805,151.55254,51,2020,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,ü,ü,Not available
,Wyong,Central Coast & Lake Macquarie,Central Coast,Wyong Racecourse ,-33.27897,151.43241,3,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/lower-hunter-and-central-coast/monitoring-stations/wyong
,Illawarra,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/illawarra
,Albion Park,Illawarra,,Croom Rd,-34.57964,150.79004,5,1997,Decommissioned (2005),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,,ü,ü,,,,,,,,Not available
