,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Macquarie Park,Sydney,Sydney east,Macquarie University Sport Fields - Culloden Rd,-33.76528,151.11777,49,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/macquarie-park
,Oakdale,Sydney,Sydney south west,Ridge Rd,-34.05171,150.49819,457,1996,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,,,ü,ü,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/oakdale
,Parramatta North ,Sydney,Sydney north west,Cumberland Hospital - Fleet St,-33.79949,150.99781,16,2017,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/parramatta-north
,Penrith,Sydney,Sydney north west,"Cnr Laycock Street and Shellbourne Pl, Cranebrook NSW",-33.72690,150.70380,27,2020,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/penrith
,Prospect ,Sydney,Sydney north west,William Lawson Park,-33.79426,150.91419,64,2007,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/prospect
,Randwick,Sydney,Sydney east,Randwick Barracks,-33.93178,151.24280,28,1994,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/randwick
,Richmond,Sydney,Sydney north west,University of Western Sydney,-33.61644,150.74735,21,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,,ü,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/richmond
,Rouse Hill,Sydney,Sydney north west,Cudgegong Rd,-33.68276,150.90371,73,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/rouse-hill
,Rozelle,Sydney,Sydney east,Rozelle Hospital,-33.86435,151.16393,22,1970,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/rozelle
,St Marys,Sydney,Sydney north west,Mamre Rd,-33.79516,150.76680,29,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/st-marys
,Sydney,Sydney,Sydney east,George & Market Sts,-33.87092,151.20706,28,1974,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,ü,,,,,,,Not available
,Vineyard,Sydney,Sydney north west,Castle Hill STP,-33.65623,150.84768,35,1994,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,ü,ü,ü,,,ü,ü,ü,,,Not available
,Woolooware,Sydney,Sydney east,Woolooware Rd,-34.04271,151.14212,12,1982,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,ü,,,Not available
,Rural NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw
,Armidale,"Rural from ""Rural and regional NSW""",Northern Tableland LLS,Kirkwood Street,-30.50845,151.66166,982,2018,Decommissioned (2019),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/cowra
,Bourke,"Rural from ""Rural and regional NSW""",Western LLS,BoM site,-30.03620,145.95200,110,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/condoblin
,Broken Hill,"Rural from ""Rural and regional NSW""",Western LLS,BoM airport,-32.00120,141.46900,285,2008,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/dubbo
,Buronga,"Rural from ""Rural and regional NSW""",Western LLS,DPI research centre,-34.17470,142.20100,51,2003,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/parkes
,Cobar,"Rural from ""Rural and regional NSW""",Western LLS,BoM site,-31.48370,145.82900,260,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/walpeup
,Condobolin,"Rural from ""Rural and regional NSW""",Central West LLS,DPI research centre,-33.06646,147.22832,193,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/werrimull
,Cooma,"Rural from ""Rural and regional NSW""",South East LLS,Snowy Hydro Discover Centre,-36.22260,149.13310,831,2020,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/deniliquin
,Coombah,"Rural from ""Rural and regional NSW""",Western LLS,Private property,-32.97860,141.48900,193,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/kyalite
,Cowra,"Rural from ""Rural and regional NSW""",Central Tablelands LLS,BoM airport,-33.83810,148.65412,296,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/rand
,Deniliquin,"Rural from ""Rural and regional NSW""",Murray LLS,BoM airport,-35.55750,144.94600,98,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/loddon-plains
,Dubbo,"Rural from ""Rural and regional NSW""",Central West LLS,BoM airport,-32.21950,148.57800,282,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/wycheproof
,Euston,"Rural from ""Rural and regional NSW""",Western LLS,Private property,-34.44300,142.88900,282,2005,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Grafton,"Rural from ""Rural and regional NSW""",North Coast LLS,Grafton Primary Industries Institute ,-29.62069,152.96331,35,2019,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Griffith,"Rural from ""Rural and regional NSW""",Riverina LLS,BoM airport,-34.24882,146.06990,132,2012,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/gunnedah
,Gunnedah,"Rural from ""Rural and regional NSW""",North West LLS,Kitchener Park - Osric St,-30.98188,150.26067,272,2019,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,Not available
,Gunnedah South East,"Rural from ""Rural and regional NSW""",North West LLS,DPIE research centre,-31.02610,150.26900,309,2003,Decommissioned (2019),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/moree
,Hay,"Rural from ""Rural and regional NSW""",Riverina LLS,BoM site,-34.54131,144.86448,89,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/walgett
,Hillston,"Rural from ""Rural and regional NSW""",Western LLS,BoM airport,-33.49151,145.52476,121,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,Not available
,Ivanhoe,"Rural from ""Rural and regional NSW""",Western LLS,Private property,-33.05480,144.15400,84,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/griffith
,Junee,"Rural from ""Rural and regional NSW""",Riverina LLS,Private property,-34.82540,147.51000,279,2012,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/hay
,Kyalite,"Rural from ""Rural and regional NSW""",Murray LLS,Private property,-35.03680,143.48900,279,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/junee
,Lake Victoria,"Rural from ""Rural and regional NSW""",Western LLS,Private property,-34.04850,141.06300,55,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/narrandera
,Lameroo,"Rural from ""Rural and regional NSW""",SA Murray Darling Basin ,BoM site,-35.37780,140.53800,112,2011,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,,,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/temora
,Lismore,"Rural from ""Rural and regional NSW""",North Coast LLS,Northern Rivers Aero Club,-28.8243,153.2568,15,2020,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/wagga
,Loddon Plains,"Rural from ""Rural and regional NSW""",North Central CMA,AG research station,-36.45380,144.31900,111,2011,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/west-wyalong
,Merimbula,"Rural from ""Rural and regional NSW""",South East LLS,Merimbula Airport,-36.90775,149.89893,6,2020,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/moolawatana
,Moolawatana,"Rural from ""Rural and regional NSW""",SA Arid Lands,Private property,-29.90720,139.73700,94,2008,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,,,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/lameroo
,Moree,"Rural from ""Rural and regional NSW""",North West LLS,BoM site,-29.48970,149.84700,213,2008,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Narrandera,"Rural from ""Rural and regional NSW""",Riverina LLS,BoM airport,-34.70500,146.51400,145,2012,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,New site - not available yet
,Parkes,"Rural from ""Rural and regional NSW""",Central West LLS,BoM airport,-33.12770,148.24400,323,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/bourke
,Pooncarie,"Rural from ""Rural and regional NSW""",Western LLS,Private property,-33.60160,142.53100,323,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/broken-hill
,Rand,"Rural from ""Rural and regional NSW""",Murray LLS,Private property,-35.62960,146.47500,149,2010,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/buronga
,Temora,"Rural from ""Rural and regional NSW""",Riverina LLS,BoM airport,-34.42780,147.51200,279,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/cobar
,Tibooburra,"Rural from ""Rural and regional NSW""",Western LLS,BoM airport,-29.44480,142.05700,178,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/coombah
,Wagga Wagga North,"Rural from ""Rural and regional NSW""",Riverina LLS,Wagga Wagga racecourse,-35.10444,147.36051,179,2017,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/euston
,Walgett,"Rural from ""Rural and regional NSW""",North West LLS,BoM airport,-30.03590,148.12300,132,2008,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/hillston
,Walpeup,"Rural from ""Rural and regional NSW""",Mallee CMA,BoM site,-35.12020,142.00400,105,2011,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/ivanhoe
,Werrimull,"Rural from ""Rural and regional NSW""",Mallee CMA,Private property,-34.46840,141.57300,77,2018,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/lake-victoria
,West Wyalong,"Rural from ""Rural and regional NSW""",Riverina LLS,BoM airport,-33.93840,147.19600,254,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/pooncarie
,White Cliffs,"Rural from ""Rural and regional NSW""",Western LLS,BoM airport,-30.85170,143.07400,159,2008,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/tibooburra
,Wycheproof,"Rural from ""Rural and regional NSW""",North Central CMA,AG research station,-36.09710,143.35500,111,2014,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,ü,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/white-cliffs
