"Site","Lat.South","Long.East","Alt.AHD","Time","TEMP.1h.C","HUMID.1h","RAIN.1h.mm.m2","WSP.1h.m.s","WDR.1h","SOLAR.1h.W.m2","PM2.5.1h.mcrg.m3","PM10.1h.mcrg.m3","CO.1h.ppm","CO.8h.rlg.ppm","SO2.1h.pphm","NO.1h.pphm","NO2.1h.pphm","SD1.1h","NEPH.1h.bsp","OZONE.1h.pphm","OZONE.4h.rlg.pphm","NH3.1h.pphm"
"TAMWORTH",-31.10991,150.9145,405,22,19.4,62,NA,0.2,283.1,NA,7.2,26.6,NA,NA,NA,NA,NA,93.66,NA,1.3,1.4,NA
"WALLSEND",-32.89439,151.67021,8,22,22,81.5,NA,2.3,185.2,-2.6,8.1,37.8,NA,NA,0.1,0,0.1,28.77,0.53,3.1,1.9,NA
"WOLLONGONG",-34.41706,150.88733,15,22,19.9,69.8,0,1.4,230.4,NA,6.9,25.7,0.5,1.2,0,0,-0.2,26.04,0.26,1.9,1.8,NA
"WYONG",-33.27897,151.43241,3,22,21.6,79,0,2.9,165.8,NA,12.3,31.7,0,0.1,0,0,-0.1,15.54,0.45,2.8,2.1,NA
"BERESFIELD",-32.79679,151.66102,14,23,21,86.4,NA,2.3,157.6,NA,3.1,29.5,NA,NA,0,0.1,0.2,16.54,0.5,2.3,1.5,NA
"BRINGELLY",-33.91765,150.76193,53,23,18.5,87.5,NA,0.1,204.4,4.4,11.8,23.2,NA,NA,0.1,0,0.2,99.21,0.35,1.6,1.9,NA
"CARRINGTON",-32.90972,151.7633,5,23,21.8,78.3,0,4.5,162.1,NA,8.5,30.4,NA,NA,0,0,-0.1,14.97,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,23,20.2,72.3,NA,1.7,171.4,-2.2,8.2,27.9,0,0,0,0,0.3,18.59,0.34,2,2.1,NA
"EARLWOOD",-33.91618,151.13579,7,23,20.7,71.3,NA,0.6,168.5,NA,10.2,29.5,NA,NA,NA,-0.1,0.3,49.16,0.36,2.2,2.3,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,23,18.1,79.1,NA,1.6,273.5,-1.9,7.5,27.6,NA,NA,NA,0,0,7.8,0.21,1.3,1.8,NA
"LINDFIELD",-33.78113,151.1509,60,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,23,19.7,76.7,NA,0.7,205.9,NA,8.7,26.8,0,0,0,0,0.7,23.93,0.34,1.6,1.9,NA
"MAYFIELD",-32.88506,151.72835,5,23,21.6,80.5,NA,3.8,153.8,-2.4,20.5,34.8,NA,NA,0,-0.1,-0.1,21.12,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,23,21.8,79.6,NA,3.7,159.8,NA,14.9,34.3,0.2,0.3,0,0,-0.1,20.88,0.5,2.8,2,NA
"RANDWICK",-33.93178,151.2428,28,23,20.4,72.1,NA,2.4,162.4,NA,-0.8,31.5,NA,NA,0,-0.1,-0.1,19.22,0.35,2.7,2.8,NA
"RICHMOND",-33.61644,150.74735,21,23,19.4,NA,NA,0.8,202,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,23,20.6,71,0,2.2,182.5,-7.7,7.6,28.8,0.2,0.2,0,0,0.4,17.67,0.4,2.1,2.2,NA
"STOCKTON",-32.90197,151.78427,5,23,21.7,82,NA,5.1,161.2,NA,16.3,39.2,NA,NA,0,0,0,13.23,NA,NA,NA,4.4
"TAMWORTH",-31.10991,150.9145,405,23,16.9,74.5,NA,0.7,138.6,NA,7.6,38,NA,NA,NA,NA,NA,23.46,NA,0.5,1.1,NA
"WALLSEND",-32.89439,151.67021,8,23,21.3,81.3,NA,2.2,170.7,-2.6,12.5,28,NA,NA,0,0,0,26.7,0.48,2.7,2.2,NA
"WOLLONGONG",-34.41706,150.88733,15,23,19.3,71.8,0,1.1,244,NA,4.5,25.4,0.5,1,0,0,-0.1,20.54,0.27,1.7,1.9,NA
"WYONG",-33.27897,151.43241,3,23,21.2,78.4,0,2.3,175.7,NA,9.2,32.7,0,0.1,0,0,-0.1,18.63,0.42,2.7,2.7,NA
"BERESFIELD",-32.79679,151.66102,14,24,20.4,86.1,NA,1.4,156,NA,7.1,25.1,NA,NA,0,0,0.1,21.44,0.47,2.3,2.1,NA
"BRINGELLY",-33.91765,150.76193,53,24,17.6,91.2,NA,0.3,195.8,2.7,8.7,18.8,NA,NA,0.1,0,0.2,54.24,0.33,1.3,1.7,NA
"CARRINGTON",-32.90972,151.7633,5,24,21.6,76.5,0,3.8,162.4,NA,11.2,30.2,NA,NA,0,0,-0.1,16.09,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,24,19.8,72.5,NA,0.9,173.6,-2.2,9,27.2,0,0,0,0,0.5,28.36,0.35,1.7,2,NA
"EARLWOOD",-33.91618,151.13579,7,24,20.2,71.3,NA,0.4,160.3,NA,4.6,28.8,NA,NA,NA,-0.1,0.2,51.09,0.34,2.2,2.3,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,24,16.6,85.7,NA,0.9,266.6,-2.8,8.1,18.2,NA,NA,NA,0,0,40.59,0.2,1,1.5,NA
"LINDFIELD",-33.78113,151.1509,60,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,24,19,78.3,NA,0.5,202.9,NA,12.5,25.3,0,0,0,0,0.7,17.43,0.34,1.5,1.7,NA
"MAYFIELD",-32.88506,151.72835,5,24,21.2,79.3,NA,2.9,147.3,-2.9,10.1,32.4,NA,NA,0,0,-0.1,21.24,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,24,21.6,77.9,NA,2.9,162,NA,17.5,34.4,0.2,0.3,0,0,-0.2,21.48,0.47,2.7,2.7,NA
"RANDWICK",-33.93178,151.2428,28,24,20.1,71.2,NA,1.9,151.1,NA,1.9,32.1,NA,NA,0,-0.1,-0.1,17.86,0.35,2.6,2.7,NA
"RICHMOND",-33.61644,150.74735,21,24,18.4,NA,NA,0.7,228.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,24,20.2,70.3,0,1.1,177.3,-7.7,8,29.7,0.2,0.2,0,0,0.5,23.47,0.39,2,2.1,NA
"STOCKTON",-32.90197,151.78427,5,24,21.4,80.3,NA,4.2,159,NA,13.4,41,NA,NA,0,0,0,13.23,NA,NA,NA,3.1
"TAMWORTH",-31.10991,150.9145,405,24,16.3,77.3,NA,0.8,135.1,NA,9.4,35.9,NA,NA,NA,NA,NA,25.44,NA,0.6,1,NA
"WALLSEND",-32.89439,151.67021,8,24,20.7,81.2,NA,1.8,161.4,-2.7,13.5,25.5,NA,NA,0,0,0,20.83,0.44,2.5,2.5,NA
"WOLLONGONG",-34.41706,150.88733,15,24,18.6,74.9,0,0.8,246.4,NA,12.1,22.2,0.4,0.9,0,0,-0.1,20.17,0.27,1.4,1.8,NA
"WYONG",-33.27897,151.43241,3,24,20,84.3,0,1,198.9,NA,6.9,27.6,0,0.1,0,0,0,50.49,0.41,2.2,2.7,NA
