Site,Lat.South,Long.East,Alt.AHD,Date,PM10.24h.mcrg.m3,CO.24h.ppm,SO2.24h.pphm,NO.24h.pphm,NO2.24h.pphm,OZONE.24h.pphm.1
EARLWOOD,-33.91618,151.13579,7,3,,,,,,1.2
GOULBURN,-34.73451,149.72421,702,3,,,,0.1,0.4,1.9
GUNNEDAH,-30.98188,150.26067,272,3,,,,0.3,0.7,1.6
KEMBLA GRANGE,-34.47442,150.81916,5,3,,,,0.1,0.4,2.1
LIDCOMBE,-33.88141,151.04678,39,3,,,0.1,1.6,1.6,1.5
LIVERPOOL,-33.9313,150.9073,22,3,34.1,0.2,0.1,3.1,1.9,1.1
MACQUARIE PARK,-33.76528,151.11777,49,3,,0.2,0.1,0.2,0.6,1.6
MAYFIELD,-32.88506,151.72835,5,3,,,0.2,2.3,1.8,
MERRIWA,-32.12578,150.4593,406,3,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,3,,,,,,
NEWCASTLE,-32.93118,151.75963,5,3,,0.2,0.3,1.4,1.5,1.3
OAKDALE,-34.05171,150.49819,457,3,,,,0,0.1,3.1
PENRITH,-33.7269,150.7038,27,3,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,3,,0.1,0,0.1,0.4,2.3
RANDWICK,-33.93178,151.2428,28,3,28.8,,0.2,1,1.5,1.4
RICHMOND,-33.61644,150.74735,21,3,,,0,0.2,0.4,1.4
ROUSE HILL,-33.68276,150.90371,73,3,,0.2,0.1,0.3,0.7,1.8
ROZELLE,-33.86435,151.16393,22,3,27.3,0.2,0.1,1,1.6,1.5
SINGLETON,-32.55748,151.17688,42,3,,,0.6,1.7,1.3,
ST MARYS,-33.79516,150.7668,29,3,,,,0.7,0.7,1.1
STOCKTON,-32.90197,151.78427,5,3,,,0.4,2.1,1.5,
WALLSEND,-32.89439,151.67021,8,3,,,0.3,0.9,1,1.3
WOLLONGONG,-34.41706,150.88733,15,3,,0.1,0.1,0.1,1,2
WYONG,-33.27897,151.43241,3,3,,0.2,0.2,0.1,0.7,1.5
BARGO,-34.3063,150.5806,365,4,,,0,1,0.7,1.9
BERESFIELD,-32.79679,151.66102,14,4,,,0.2,1.2,1.2,1.1
BRADFIELD HIGHWAY,-33.84343,151.21142,36,4,,0.2,0.2,5.8,3.2,0.8
BRINGELLY,-33.91765,150.76193,53,4,26,,0.1,0.4,0.3,1.2
CAMDEN,-34.0417,150.69014,73,4,,,,,,1.5
CAMPBELLTOWN WEST,-34.06667,150.79554,112,4,,0.3,0.1,2.7,1.4,1.1
CARRINGTON,-32.90972,151.7633,5,4,,,0.1,0.9,1.6,
CHULLORA,-33.89157,151.04606,32,4,,0.2,0.1,2.3,1.8,1.1
COFFS HARBOUR,-30.29831,153.11808,21,4,,0.2,,0.1,0.4,2.3
COOK AND PHILLIP,-33.87247,151.21334,26,4,,0.1,0.1,1.5,2.1,1.1
EARLWOOD,-33.91618,151.13579,7,4,,,,2.8,2,0.9
GOULBURN,-34.73451,149.72421,702,4,,,,0.3,0.6,1.9
GUNNEDAH,-30.98188,150.26067,272,4,,,,0.4,0.7,1.5
KEMBLA GRANGE,-34.47442,150.81916,5,4,,,,0,0.4,2.4
LIDCOMBE,-33.88141,151.04678,39,4,,,0.1,2.4,2.1,1.2
LIVERPOOL,-33.9313,150.9073,22,4,34.7,0.3,0.1,3.7,1.8,1
MACQUARIE PARK,-33.76528,151.11777,49,4,,0.2,0,0,0.6,1.9
MAYFIELD,-32.88506,151.72835,5,4,,,0.1,0.8,2,
MERRIWA,-32.12578,150.4593,406,4,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,4,,,,,,
NEWCASTLE,-32.93118,151.75963,5,4,,0.2,0.1,0.3,1.2,1.6
OAKDALE,-34.05171,150.49819,457,4,,,,0,0,2.8
PENRITH,-33.7269,150.7038,27,4,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,4,,0.2,0,0.1,0.6,1.7
RANDWICK,-33.93178,151.2428,28,4,30.1,,0.1,0.7,1.2,1.6
RICHMOND,-33.61644,150.74735,21,4,,,0,0.1,0.3,1.8
ROUSE HILL,-33.68276,150.90371,73,4,,0.2,0,0,0.7,2.2
ROZELLE,-33.86435,151.16393,22,4,29.4,0.2,0.1,0.7,1.8,1.4
SINGLETON,-32.55748,151.17688,42,4,,,0.1,0.8,1.2,
ST MARYS,-33.79516,150.7668,29,4,,,,0.5,0.5,1.2
STOCKTON,-32.90197,151.78427,5,4,,,0.1,1.4,1.8,
WALLSEND,-32.89439,151.67021,8,4,,,0.1,0.3,1.2,1.4
WOLLONGONG,-34.41706,150.88733,15,4,,0.1,0,0.4,0.8,2.1
WYONG,-33.27897,151.43241,3,4,,0.3,0.1,0.1,0.7,1.6
BARGO,-34.3063,150.5806,365,5,,,0.1,0.1,0.9,2
BERESFIELD,-32.79679,151.66102,14,5,,,0.2,1.9,0.7,1.4
BRADFIELD HIGHWAY,-33.84343,151.21142,36,5,,0.2,0.1,2.2,2.4,1.3
BRINGELLY,-33.91765,150.76193,53,5,22.1,,0,0.1,0.1,1.5
CAMDEN,-34.0417,150.69014,73,5,,0.2,,0.1,0.5,1.9
CAMPBELLTOWN WEST,-34.06667,150.79554,112,5,,0.3,0.1,0.5,1.4,1.7
CARRINGTON,-32.90972,151.7633,5,5,,,0.2,2.1,1.5,
CHULLORA,-33.89157,151.04606,32,5,,0.1,0.1,1,1.2,1.9
COFFS HARBOUR,-30.29831,153.11808,21,5,,0.2,,0,0.1,2.5
COOK AND PHILLIP,-33.87247,151.21334,26,5,,0.1,0.1,0.8,1.4,1.7
EARLWOOD,-33.91618,151.13579,7,5,,,,2.1,1.2,1.9
GOULBURN,-34.73451,149.72421,702,5,,,,0.1,0.3,1.7
GUNNEDAH,-30.98188,150.26067,272,5,,,,0.2,0.7,1.8
KEMBLA GRANGE,-34.47442,150.81916,5,5,,,,,,
LIDCOMBE,-33.88141,151.04678,39,5,,,0.1,1,1.2,2.3
LIVERPOOL,-33.9313,150.9073,22,5,29.5,0.3,0.1,2.1,1.5,1.6
MACQUARIE PARK,-33.76528,151.11777,49,5,,0.3,0.1,0,0.5,2.1
MAYFIELD,-32.88506,151.72835,5,5,,,0.2,1.7,1.3,
MERRIWA,-32.12578,150.4593,406,5,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,5,,,,,,
NEWCASTLE,-32.93118,151.75963,5,5,,0.2,0.2,1.2,1,1.5
OAKDALE,-34.05171,150.49819,457,5,,,,0,0.1,2.9
PENRITH,-33.7269,150.7038,27,5,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,5,,0.2,0,0,0.2,2
RANDWICK,-33.93178,151.2428,28,5,27.4,,0.2,0.6,0.7,2.2
RICHMOND,-33.61644,150.74735,21,5,,,0,0,0.3,1.6
ROUSE HILL,-33.68276,150.90371,73,5,,0.3,0.1,0,0.4,2.6
ROZELLE,-33.86435,151.16393,22,5,27.4,0.3,0.1,0.8,1.2,2.2
SINGLETON,-32.55748,151.17688,42,5,,,0.3,1.3,1,
ST MARYS,-33.79516,150.7668,29,5,,,,0.1,0.3,1.5
STOCKTON,-32.90197,151.78427,5,5,,,0.2,2.2,1.2,
WALLSEND,-32.89439,151.67021,8,5,,,0.2,0.7,0.9,1.5
WOLLONGONG,-34.41706,150.88733,15,5,,0.2,0.1,0,1,2.5
WYONG,-33.27897,151.43241,3,5,,0.3,0.2,0.1,0.4,2
BARGO,-34.3063,150.5806,365,6,,,0,0.1,0.3,1.8
BERESFIELD,-32.79679,151.66102,14,6,,,0.1,0.9,0.8,1.3
BRADFIELD HIGHWAY,-33.84343,151.21142,36,6,,0.1,0.1,1.4,1.3,1.6
BRINGELLY,-33.91765,150.76193,53,6,18.8,,0,,,1.4
CAMDEN,-34.0417,150.69014,73,6,,0.2,,0,0.3,1.5
CAMPBELLTOWN WEST,-34.06667,150.79554,112,6,,0.3,0,0.5,0.8,1.3
CARRINGTON,-32.90972,151.7633,5,6,,,0.1,1.3,1.4,
CHULLORA,-33.89157,151.04606,32,6,,0,0,0.2,0.5,1.7
COFFS HARBOUR,-30.29831,153.11808,21,6,,0.1,,0,0.1,2.7
COOK AND PHILLIP,-33.87247,151.21334,26,6,,0,0,0.1,0.9,1.6
EARLWOOD,-33.91618,151.13579,7,6,,,,0.5,0.8,1.4
GOULBURN,-34.73451,149.72421,702,6,,,,0,0.1,2.3
GUNNEDAH,-30.98188,150.26067,272,6,,,,0.2,0.5,1.9
KEMBLA GRANGE,-34.47442,150.81916,5,6,,,,,,
LIDCOMBE,-33.88141,151.04678,39,6,,,0,0.1,0.6,1.9
LIVERPOOL,-33.9313,150.9073,22,6,26.2,0.2,0,0.7,0.9,1.3
MACQUARIE PARK,-33.76528,151.11777,49,6,,0.2,0,0,0.2,2.1
MAYFIELD,-32.88506,151.72835,5,6,,,0.1,0.9,1.2,
MERRIWA,-32.12578,150.4593,406,6,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,6,,,,,,
NEWCASTLE,-32.93118,151.75963,5,6,,0.3,0.1,0.7,0.9,1.4
OAKDALE,-34.05171,150.49819,457,6,,,,0,0,2.7
PENRITH,-33.7269,150.7038,27,6,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,6,,0.2,0,0,0.4,2
RANDWICK,-33.93178,151.2428,28,6,22.9,,0,0.1,0.4,2
RICHMOND,-33.61644,150.74735,21,6,,,0,0,0,1.7
ROUSE HILL,-33.68276,150.90371,73,6,,0,0.2,0,-0.1,2.3
ROZELLE,-33.86435,151.16393,22,6,18.6,0.2,0,0,0.5,2.1
SINGLETON,-32.55748,151.17688,42,6,,,0.2,0.6,0.7,
ST MARYS,-33.79516,150.7668,29,6,,,,0.1,0.1,1.5
STOCKTON,-32.90197,151.78427,5,6,,,0.1,1.6,1.6,
WALLSEND,-32.89439,151.67021,8,6,,,0.1,0.5,0.6,1.3
WOLLONGONG,-34.41706,150.88733,15,6,,0.1,0,0,0.5,2
WYONG,-33.27897,151.43241,3,6,,0.3,0,0,0.3,1.5
BARGO,-34.3063,150.5806,365,7,,,0,0.7,0.8,1.5
BERESFIELD,-32.79679,151.66102,14,7,,,0.2,0.7,0.5,1
BRADFIELD HIGHWAY,-33.84343,151.21142,36,7,,0.2,0.1,5.3,2.2,0.6
BRINGELLY,-33.91765,150.76193,53,7,22.8,,0,0.3,0.5,1.1
CAMDEN,-34.0417,150.69014,73,7,,0.1,,0.1,0.5,1.4
CAMPBELLTOWN WEST,-34.06667,150.79554,112,7,,0.3,0,1.3,1.2,0.9
CARRINGTON,-32.90972,151.7633,5,7,,,0,0.1,0.6,
CHULLORA,-33.89157,151.04606,32,7,,0.1,0.1,1.5,1.3,0.9
COFFS HARBOUR,-30.29831,153.11808,21,7,,0.2,,0,0.3,2.2
COOK AND PHILLIP,-33.87247,151.21334,26,7,,0.1,0,1.1,1.1,1.1
EARLWOOD,-33.91618,151.13579,7,7,,,,0.5,0.8,1.3
GOULBURN,-34.73451,149.72421,702,7,,,,0.5,0.4,1.6
GUNNEDAH,-30.98188,150.26067,272,7,,,,0.1,0.3,2.2
KEMBLA GRANGE,-34.47442,150.81916,5,7,,,,,,
LIDCOMBE,-33.88141,151.04678,39,7,,,0,0.9,1.4,0.8
LIVERPOOL,-33.9313,150.9073,22,7,21.2,0.1,0.1,2,1.5,0.8
MACQUARIE PARK,-33.76528,151.11777,49,7,,0.3,0,0.3,0.7,0.7
MAYFIELD,-32.88506,151.72835,5,7,,,0,0.3,0.9,
MERRIWA,-32.12578,150.4593,406,7,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,7,,,,,,
NEWCASTLE,-32.93118,151.75963,5,7,,0.3,0,0.1,0.3,1.8
OAKDALE,-34.05171,150.49819,457,7,,,,0,0.3,2.2
PENRITH,-33.7269,150.7038,27,7,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,7,,0.2,0,0.1,0.4,1.9
RANDWICK,-33.93178,151.2428,28,7,22.9,,0.1,0.2,0.2,2
RICHMOND,-33.61644,150.74735,21,7,,,0,0.1,0.3,1.4
ROUSE HILL,-33.68276,150.90371,73,7,,0.1,0.2,0.5,1,1.1
ROZELLE,-33.86435,151.16393,22,7,21,0.2,0,0.7,1,1.4
SINGLETON,-32.55748,151.17688,42,7,,,0,0.2,0.6,
ST MARYS,-33.79516,150.7668,29,7,,,,0.2,0.6,0.9
STOCKTON,-32.90197,151.78427,5,7,,,0,0.2,0.6,
WALLSEND,-32.89439,151.67021,8,7,,,0.1,0.2,0.7,1.2
WOLLONGONG,-34.41706,150.88733,15,7,,0.1,0,0.5,1,1.3
WYONG,-33.27897,151.43241,3,7,,0.2,0,0.2,0.5,1.6
BARGO,-34.3063,150.5806,365,8,,,0,0,0.6,1.3
BERESFIELD,-32.79679,151.66102,14,8,,,0.1,1.7,0.7,1
BRADFIELD HIGHWAY,-33.84343,151.21142,36,8,,0.1,0.1,4.2,1.9,1
BRINGELLY,-33.91765,150.76193,53,8,26.9,,0,0.4,0.5,0.8
CAMDEN,-34.0417,150.69014,73,8,,0.2,,0.2,0.7,1.1
CAMPBELLTOWN WEST,-34.06667,150.79554,112,8,,0.3,0.1,2.5,1.5,0.7
CARRINGTON,-32.90972,151.7633,5,8,,,0,0.2,0.5,
CHULLORA,-33.89157,151.04606,32,8,,0,0,1.4,1.3,0.9
COFFS HARBOUR,-30.29831,153.11808,21,8,,0.2,,0.1,0.3,1.4
COOK AND PHILLIP,-33.87247,151.21334,26,8,,0,0,0.2,0.7,1.6
EARLWOOD,-33.91618,151.13579,7,8,,,,1,1.1,1.2
GOULBURN,-34.73451,149.72421,702,8,,,,0.2,0.3,1.6
GUNNEDAH,-30.98188,150.26067,272,8,,,,0.2,0.5,1.9
KEMBLA GRANGE,-34.47442,150.81916,5,8,,,,0.1,0.3,2
LIDCOMBE,-33.88141,151.04678,39,8,,,0,1,1.1,1.2
LIVERPOOL,-33.9313,150.9073,22,8,23.6,0.3,0.1,3.2,1.5,0.7
MACQUARIE PARK,-33.76528,151.11777,49,8,,0.2,0,0.2,0.3,1
MAYFIELD,-32.88506,151.72835,5,8,,,0,0.2,0.9,
MERRIWA,-32.12578,150.4593,406,8,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,8,,,,,,
NEWCASTLE,-32.93118,151.75963,5,8,,0.2,0,0.1,0.1,2.2
OAKDALE,-34.05171,150.49819,457,8,,,,0,0.4,1.9
PENRITH,-33.7269,150.7038,27,8,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,8,,0,0,0.1,0.3,2.4
RANDWICK,-33.93178,151.2428,28,8,19.1,,0,0,0,2.6
RICHMOND,-33.61644,150.74735,21,8,,,,,,
ROUSE HILL,-33.68276,150.90371,73,8,,0.3,0.1,0.2,0.5,1.1
ROZELLE,-33.86435,151.16393,22,8,18.2,0.2,0,0.6,0.9,1.7
SINGLETON,-32.55748,151.17688,42,8,,,,0.6,0.4,
ST MARYS,-33.79516,150.7668,29,8,,,,0.6,0.7,0.7
STOCKTON,-32.90197,151.78427,5,8,,,0,0,0.1,
WALLSEND,-32.89439,151.67021,8,8,,,0.1,0.2,0.6,1.1
WOLLONGONG,-34.41706,150.88733,15,8,,0.1,0,0.1,0.5,1.9
WYONG,-33.27897,151.43241,3,8,,0.2,0,0.5,0.3,1.1
BARGO,-34.3063,150.5806,365,9,,,0,0,0.4,1.4
BERESFIELD,-32.79679,151.66102,14,9,,,0,0.6,0.3,1.1
BRADFIELD HIGHWAY,-33.84343,151.21142,36,9,,0.2,0.2,4.7,2.1,0.5
BRINGELLY,-33.91765,150.76193,53,9,22.5,,0,0.4,0.3,0.9
CAMDEN,-34.0417,150.69014,73,9,,0.2,,0.1,0.5,0.9
CAMPBELLTOWN WEST,-34.06667,150.79554,112,9,,0.4,0.1,2.5,1.6,0.6
CARRINGTON,-32.90972,151.7633,5,9,,,0.1,1.2,0.7,
CHULLORA,-33.89157,151.04606,32,9,,0,0.1,0.6,1,1.2
COFFS HARBOUR,-30.29831,153.11808,21,9,,0.2,,0,0.2,1.6
COOK AND PHILLIP,-33.87247,151.21334,26,9,,0,0.1,0.4,1,1.1
EARLWOOD,-33.91618,151.13579,7,9,,,,0.3,1,1.2
GOULBURN,-34.73451,149.72421,702,9,,,,0,0.2,2.1
GUNNEDAH,-30.98188,150.26067,272,9,,,,0.2,0.5,2
KEMBLA GRANGE,-34.47442,150.81916,5,9,,,,0.2,0.6,1.5
LIDCOMBE,-33.88141,151.04678,39,9,,,0.1,0.3,0.9,1.5
LIVERPOOL,-33.9313,150.9073,22,9,24.5,0.2,0.1,1.2,1.3,1
MACQUARIE PARK,-33.76528,151.11777,49,9,,0.2,0.2,0.1,0.5,1.5
MAYFIELD,-32.88506,151.72835,5,9,,,0.4,0.8,0.9,
MERRIWA,-32.12578,150.4593,406,9,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,9,,,,,,
NEWCASTLE,-32.93118,151.75963,5,9,,0.2,0.2,0.8,0.7,1.1
OAKDALE,-34.05171,150.49819,457,9,,,,0,0.1,1.9
PENRITH,-33.7269,150.7038,27,9,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,9,,0.1,0,0.1,0.2,1.7
RANDWICK,-33.93178,151.2428,28,9,11.6,,0.2,0.1,0.4,1.8
RICHMOND,-33.61644,150.74735,21,9,,,0.1,0.1,0.2,1.3
ROUSE HILL,-33.68276,150.90371,73,9,,0.3,0.1,0,0.5,1.5
ROZELLE,-33.86435,151.16393,22,9,11.4,0.2,0.2,0.2,0.8,1.6
SINGLETON,-32.55748,151.17688,42,9,,,0,0.7,0.6,
ST MARYS,-33.79516,150.7668,29,9,,,,0.3,0.5,0.9
STOCKTON,-32.90197,151.78427,5,9,,,0,0.5,0.4,
WALLSEND,-32.89439,151.67021,8,9,,,0.2,0.6,0.5,0.9
WOLLONGONG,-34.41706,150.88733,15,9,,0.1,0.1,0.1,0.7,1.7
WYONG,-33.27897,151.43241,3,9,,0.3,0.1,0.8,0.4,1
BARGO,-34.3063,150.5806,365,10,,,0,0,0.1,2.1
BERESFIELD,-32.79679,151.66102,14,10,,,0.2,0.5,0.4,1.2
BRADFIELD HIGHWAY,-33.84343,151.21142,36,10,,0.2,0.1,4.3,1.9,0.5
BRINGELLY,-33.91765,150.76193,53,10,1.5,,0,0.2,0.1,1.3
CAMDEN,-34.0417,150.69014,73,10,,0.1,,0,0.3,1.5
CAMPBELLTOWN WEST,-34.06667,150.79554,112,10,,0.3,0,1.2,1.3,0.8
CARRINGTON,-32.90972,151.7633,5,10,,,0.2,0.7,0.9,
CHULLORA,-33.89157,151.04606,32,10,,0.1,0,1.7,1.4,0.6
COFFS HARBOUR,-30.29831,153.11808,21,10,,0.2,,0,0.1,2.4
COOK AND PHILLIP,-33.87247,151.21334,26,10,,0.1,0.1,0.7,1.3,0.7
EARLWOOD,-33.91618,151.13579,7,10,,,,1.5,1.3,0.6
GOULBURN,-34.73451,149.72421,702,10,,,,-0.1,0.1,2.6
GUNNEDAH,-30.98188,150.26067,272,10,,,,0,0.1,2.3
KEMBLA GRANGE,-34.47442,150.81916,5,10,,,,0,0.4,2
LIDCOMBE,-33.88141,151.04678,39,10,,,0,0.7,1.3,0.8
LIVERPOOL,-33.9313,150.9073,22,10,6.3,0.1,0,1.5,1.5,0.7
MACQUARIE PARK,-33.76528,151.11777,49,10,,0.2,0,0.2,0.6,1.2
MAYFIELD,-32.88506,151.72835,5,10,,,0.3,0.5,0.9,
MERRIWA,-32.12578,150.4593,406,10,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,10,,,,,,
NEWCASTLE,-32.93118,151.75963,5,10,,0.2,0.2,0.5,0.7,1.2
OAKDALE,-34.05171,150.49819,457,10,,,,0,0,2.3
PENRITH,-33.7269,150.7038,27,10,,,,,,
